age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_violent_recid,days_b_screening_arrest,F,M,African-American,Asian,Caucasian,Hispanic,Native American,Other,Female,Male,High,Low,Medium,days_in_jail
-0.04556788045719665,-0.12792277383035552,1,-0.1832315464703722,-0.23510237636567338,-0.4735933074256388,0,0.14560099127352957,1,0,1,0,0,0,0,0,0,1,0,1,0,-0.31319110432919856
0.12493527697342992,-0.12792277383035552,7,1.8254808954748094,-0.23510237636567338,0.5805061853370884,0,-3.7880795433739847,1,0,0,0,0,0,0,1,1,0,0,0,1,-0.31319110432919856
-0.9833352463256427,-0.12792277383035552,5,-0.1832315464703722,-0.23510237636567338,-0.6844132059781843,0,0.14560099127352957,1,0,1,0,0,0,0,0,1,0,0,0,1,-0.27035514510569514
0.039683698258116636,-0.12792277383035552,6,-0.1832315464703722,-0.23510237636567338,0.7913260838896339,1,0.14560099127352957,1,0,1,0,0,0,0,0,1,0,0,0,1,-0.2917731247174468
-0.3865741953184498,-0.12792277383035552,2,-0.1832315464703722,-0.23510237636567338,-0.6844132059781843,0,-0.05108303545884612,0,1,1,0,0,0,0,0,1,0,0,1,0,-0.31319110432919856
0.5511931705499963,-0.12792277383035552,9,1.8254808954748094,-0.23510237636567338,1.4237857795472701,0,0.3422850180059053,1,0,1,0,0,0,0,0,0,1,1,0,0,3.4563733073390988
-0.3865741953184498,-0.12792277383035552,3,-0.1832315464703722,-0.23510237636567338,-0.4735933074256388,0,-4.968183703768239,0,1,0,0,1,0,0,0,1,0,0,1,0,-0.31319110432919856
1.4889605364184424,-0.12792277383035552,1,-0.1832315464703722,-0.23510237636567338,-0.6844132059781843,0,0.14560099127352957,1,0,1,0,0,0,0,0,1,0,0,1,0,-0.27035514510569514
0.039683698258116636,-0.12792277383035552,6,-0.1832315464703722,-0.23510237636567338,1.2129658809947248,0,0.14560099127352957,1,0,1,0,0,0,0,0,0,1,0,0,1,-0.2917731247174468
-0.8128320888950161,-0.12792277383035552,5,-0.1832315464703722,1.8894245151847455,-0.2627734088730934,0,0.3422850180059053,1,0,0,0,1,0,0,0,0,1,0,0,1,-0.31319110432919856
0.12493527697342992,-0.12792277383035552,1,-0.1832315464703722,-0.23510237636567338,-0.6844132059781843,0,0.3422850180059053,1,0,0,0,1,0,0,0,0,1,0,1,0,0.45785616169386223
-0.2160710378878232,-0.12792277383035552,3,-0.1832315464703722,-0.23510237636567338,-0.4735933074256388,0,0.3422850180059053,1,0,0,0,0,1,0,0,0,1,0,1,0,-0.31319110432919856
